Statistics for mnist_CNN_v2_all_epochs=1

std (mean(feature map)) across trials 	"[  9.13003460e-03   1.28940912e-03   3.83543223e-02   4.33496572e-02
   2.62709379e-01   7.87795172e-04   7.80393258e-02   2.41421536e-02
   2.81699318e-02   2.96743261e-03   6.70895679e-03   1.27868296e-03
   2.39623725e-01   8.31309799e-03   1.30240098e-02   2.97899619e-02
   2.28494164e-02   6.99783070e-03   1.71707615e-01   1.60040110e-02
   2.59245350e-03   5.59000509e-05   9.29347612e-03   1.96599826e-01
   2.86756791e-02   1.77166328e-01   1.89568087e-01   2.90462989e-02
   1.25713512e-01   1.13864057e-01   6.43598363e-02   2.60080129e-01]"
std (max(feature map)) across trials 	"[ 0.06302607  0.04618115  0.04857497  0.13023032  0.28713205  0.01920178
  0.17028564  0.110907    0.10465661  0.02276006  0.05849046  0.01519278
  0.34720474  0.06042315  0.10868341  0.1431435   0.08272599  0.06925925
  0.21999516  0.06612116  0.04720977  0.01739917  0.07177597  0.31463158
  0.06231935  0.24328235  0.29621902  0.12489738  0.41966432  0.2732884
  0.212212    0.35126254]"
mean(max pool unit across trials) within feature map 0 	[2.4437295e-05, 0.00015100457, 0.00029637985, 0.00045608048, 0.00047479925, 0.00051997986, 0.00064901204, 0.00075443892, 0.00065880426, 0.000667363, 0.00048216849, 0.00045298404, 0.00055015192, 0.00066181243, 0.00077371381, 0.00081177673, 0.00083191728, 0.000807598, 0.00057478086, 0.00048439013, 0.00035000095, 0.00010411732, 4.2774827e-05, -2.9569491e-12]
